age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,3,203573,11,4,12,1,4,0,0,0,40,39,0
33,4,137801,9,4,0,1,1,0,0,0,21,39,0
65,6,198806,10,2,7,0,1,1,0,0,88,0,1
41,7,84797,11,4,0,1,1,0,0,0,49,39,0
31,4,222112,15,3,0,1,4,0,0,0,21,39,0
29,4,73389,11,6,14,4,4,1,5485,0,40,39,1
63,4,119875,9,2,14,0,4,1,0,0,55,39,1
35,6,342333,8,4,12,3,2,1,0,0,35,39,0
38,4,420166,11,0,1,1,1,0,0,0,40,39,0
60,7,168027,11,2,3,0,2,1,0,0,40,39,0
30,3,165247,11,0,4,1,4,0,0,0,60,39,1
37,6,40663,9,4,12,1,4,0,0,1889,34,39,0
63,4,240556,10,2,1,0,4,1,0,0,45,39,0
26,1,178465,15,4,3,1,2,0,32620,0,40,39,1
66,4,338466,11,2,7,0,4,1,0,1882,40,39,0
50,4,153474,11,0,6,4,2,1,0,0,29,32,0
32,2,280335,9,6,10,3,1,0,0,0,50,39,0
30,6,152403,11,5,1,4,4,0,0,0,36,39,0
63,5,195661,0,2,4,0,1,1,0,0,40,39,0
32,4,172880,15,4,10,3,4,0,25275,0,40,39,0
41,1,55685,11,4,1,3,4,1,3211,0,40,39,0
63,4,191731,1,2,7,0,4,1,0,0,34,39,1
32,4,120392,11,4,8,4,4,0,0,0,35,2,0
37,4,112119,11,2,8,0,4,1,14526,0,33,39,1
33,4,18786,9,5,8,3,4,0,0,0,40,39,0
28,4,63564,1,4,1,3,4,0,0,0,35,39,0
38,7,600849,14,0,14,4,4,0,0,0,40,39,1
23,4,186422,7,5,3,4,4,0,0,0,40,39,0
55,8,35049,11,2,3,0,4,1,0,0,40,39,0
30,4,611220,11,0,10,5,0,1,0,0,40,39,1
37,4,90978,8,0,4,1,2,0,0,0,40,39,0
39,5,92232,1,4,4,3,1,0,0,0,40,39,0
25,0,65731,8,0,12,1,4,1,0,0,36,39,0
26,4,256055,12,4,10,1,4,1,0,0,34,39,1
22,4,137647,2,2,8,0,4,0,0,0,40,39,1
59,4,93304,11,0,6,4,4,1,0,0,34,39,0
63,4,47034,0,2,12,0,4,1,0,0,61,22,1
63,6,197289,8,2,5,0,4,1,0,3087,40,24,1
56,4,168583,15,2,4,0,4,0,0,0,36,39,1
37,4,342727,11,4,7,1,4,1,0,0,40,39,0
26,8,243080,13,6,5,5,4,0,105471,0,40,39,0
39,4,405243,15,4,14,1,2,0,0,0,40,39,0
65,4,242824,15,2,3,0,4,1,0,0,71,15,0
36,4,317248,11,6,1,1,4,1,0,0,21,39,0
41,5,91538,11,2,8,0,4,0,0,619,68,39,0
44,7,83617,14,0,14,4,4,0,0,0,40,39,0
30,4,222517,11,4,10,1,4,1,0,0,40,39,1
29,4,182782,11,2,8,5,4,1,0,1665,33,39,1
40,6,154283,1,2,8,0,4,1,0,0,40,39,0
26,4,98971,15,3,4,1,4,1,10482,0,50,39,1
37,7,574608,15,4,12,1,0,1,0,0,40,11,0
45,4,234595,11,2,3,0,1,1,0,0,40,39,0
28,4,229150,9,2,10,0,4,1,96881,0,50,39,1
26,7,401177,11,4,1,1,4,1,0,0,21,33,0
64,1,47340,9,2,12,0,2,1,0,0,51,4,1
30,0,223751,12,4,12,1,4,0,0,0,40,39,0
58,5,283450,0,2,5,0,4,1,0,0,40,39,0
53,4,328604,11,0,1,1,3,0,0,0,21,39,0
27,7,226734,12,0,1,1,4,1,0,0,35,39,0
23,6,135457,11,4,8,4,4,1,0,1661,40,39,0
63,4,172618,9,2,3,0,4,1,0,0,51,35,1
50,4,156270,11,2,3,0,4,1,0,0,60,39,0
37,4,347768,11,4,12,4,2,1,0,0,55,14,0
35,8,312818,11,2,4,4,4,1,0,1605,68,6,0
32,0,106776,9,4,8,1,4,0,0,0,55,39,0
32,4,193051,9,6,6,3,4,0,0,0,40,39,0
33,4,190937,11,4,10,3,4,1,0,0,40,39,1
38,4,63080,15,4,9,3,4,1,0,0,40,10,0
33,4,98882,11,0,3,4,4,0,0,0,40,39,0
26,4,238006,4,5,7,0,4,0,0,0,40,39,0
30,4,181809,11,6,12,1,4,0,0,0,36,39,0
28,7,220330,7,0,8,1,4,0,0,0,40,39,1
32,4,64178,14,4,4,3,4,1,0,0,40,9,0
37,2,42707,9,4,13,1,0,0,0,0,40,31,0
48,7,366440,1,0,1,1,1,0,0,0,18,6,0
65,2,161859,9,2,3,0,4,1,0,0,50,39,0
32,4,222132,11,4,1,4,4,1,0,0,21,39,0
25,0,40262,11,6,8,3,4,0,0,0,40,39,0
39,4,49775,12,4,1,3,4,1,0,0,40,39,0
64,4,113004,0,2,3,0,4,1,0,0,60,39,1
26,4,34346,12,0,7,1,2,0,0,0,40,39,0
41,4,97377,8,0,14,3,4,1,0,0,35,39,0
61,4,167697,0,2,3,0,4,1,0,0,40,0,0
31,4,489233,15,4,4,1,4,0,0,0,40,39,0
30,4,407752,11,2,14,0,4,1,0,0,40,39,1
28,4,49473,9,4,3,1,4,0,4080,0,40,39,0
28,4,193171,11,6,8,1,4,0,0,0,40,39,0
33,1,188768,9,0,1,0,4,1,6401,0,49,39,1
32,2,195271,6,4,10,1,4,1,0,0,68,39,0
39,3,329937,15,4,8,1,4,0,0,0,40,30,0
37,4,78841,11,4,12,2,2,1,0,0,40,39,0
64,4,113322,11,2,3,0,4,0,0,0,20,39,0
31,4,43671,14,2,4,5,4,0,0,0,40,39,1
38,4,155603,15,4,11,3,1,0,0,0,40,19,0
23,4,171008,11,6,4,0,4,1,0,2014,45,39,0
61,4,339969,11,2,10,0,4,1,0,0,60,39,1
50,0,37744,8,6,1,0,0,0,0,0,40,5,0
34,4,114390,9,2,10,0,4,0,107762,0,50,39,1
48,4,26631,10,2,3,0,4,1,0,0,50,39,0
41,0,155974,11,4,14,4,3,0,0,0,20,39,0
52,6,198356,9,2,10,0,4,1,0,1996,45,39,1
40,4,128117,15,4,0,4,2,1,0,0,40,13,0
32,4,445611,15,4,3,3,2,1,0,0,40,39,0
28,4,166610,7,0,7,4,4,0,0,0,40,39,0
47,4,344120,0,2,10,0,4,1,0,0,60,24,1
51,5,42142,9,2,10,0,4,1,6989,0,32,39,1
21,6,73381,11,0,8,5,4,0,0,0,45,39,1
66,5,193390,14,2,3,0,0,1,0,0,40,39,0
54,5,365363,8,2,10,5,4,1,7956,0,50,39,1
32,0,223847,9,4,7,1,4,0,0,0,21,39,0
30,4,182446,7,4,8,3,4,1,0,0,35,39,0
39,1,239473,13,4,0,1,1,0,0,0,40,39,0
60,2,503760,7,2,12,5,0,1,0,0,60,39,1
34,1,208305,6,4,5,3,2,1,0,0,50,26,0
40,6,146174,15,0,8,4,4,0,4595,0,40,39,0
37,0,170946,7,2,7,0,4,1,0,0,49,39,1
28,4,210688,15,4,7,3,4,0,0,0,40,39,0
47,2,111188,0,2,12,0,4,1,0,0,20,39,1
43,6,34364,11,5,1,1,4,1,0,2409,29,26,0
34,1,154403,9,2,4,1,4,0,0,1559,40,39,1
34,4,37882,14,2,10,1,4,1,14361,0,40,39,1
28,1,82456,11,0,8,1,4,0,0,0,36,39,0
63,0,359774,1,2,10,0,4,0,0,0,40,39,0
41,5,162260,9,2,14,3,4,0,0,0,40,26,0
38,4,141725,7,4,1,3,2,1,0,0,21,22,0
37,2,176402,0,2,3,4,4,1,0,0,40,39,0
33,4,414463,11,4,1,3,0,0,0,0,40,39,0
62,5,340153,15,2,4,0,4,1,0,0,55,39,0
64,4,541707,15,2,11,4,4,1,0,0,40,35,0
46,4,110926,11,2,14,0,4,1,0,0,40,11,0
40,0,225810,3,2,12,0,4,1,0,0,40,39,0
45,4,159698,11,2,11,4,4,1,0,0,40,39,0
30,4,290196,15,4,4,1,4,0,9376,0,40,39,1
50,4,340073,8,2,8,0,1,1,0,0,34,39,0
63,2,109487,11,2,8,2,4,1,0,0,40,39,0
63,4,116129,15,2,8,0,4,1,0,2002,40,2,1
37,4,305621,15,4,5,1,4,0,0,0,50,11,0
49,4,197770,11,2,4,0,4,1,14928,0,45,39,1
35,0,64648,11,4,1,1,4,0,0,0,40,35,0
50,2,40479,3,2,0,0,4,1,0,0,52,20,0
53,4,121668,15,2,12,0,4,1,7304,0,70,39,1
21,7,514505,11,6,14,1,4,0,0,0,34,39,0
59,4,181535,11,2,4,0,4,0,0,0,40,39,0
33,4,157106,11,3,4,4,4,0,0,0,40,39,0
47,6,177988,15,2,9,3,4,0,0,0,34,39,0
29,4,512295,11,0,8,1,4,1,0,1559,50,39,1
36,6,300426,9,2,10,4,4,0,5595,0,33,39,1
39,5,52668,10,4,1,1,4,1,0,0,66,16,0
32,4,288604,14,6,4,4,4,0,0,0,50,39,0
52,4,166684,11,3,4,1,2,0,0,0,15,39,0
31,4,112956,12,0,7,1,4,0,2020,0,21,39,0
55,4,101869,11,2,3,0,2,1,19229,0,60,39,1
64,4,364574,5,2,10,5,4,1,0,0,60,10,1
38,5,47329,15,2,4,5,4,1,15720,631,69,39,1
25,4,186517,12,2,12,5,4,1,95709,0,40,39,1
36,4,195664,1,4,0,3,4,0,0,0,40,4,0
39,0,302499,11,0,7,1,4,0,0,0,40,26,0
34,3,212066,9,4,1,3,2,0,0,0,35,39,0
36,4,39008,15,4,0,3,4,1,0,0,40,39,0
46,4,226615,0,0,0,4,4,0,0,0,41,8,0
37,1,151175,1,0,7,1,4,0,0,0,40,0,1
27,0,42204,9,6,8,1,4,0,0,0,40,39,0
39,0,338664,12,4,12,1,2,0,0,0,68,31,0
43,4,253450,11,0,6,4,1,0,0,0,40,39,0
28,4,169327,12,4,1,1,4,0,10234,0,35,39,0
31,4,214096,3,5,8,2,4,1,0,0,40,39,0
31,4,139142,7,0,10,1,4,1,0,0,45,39,0
50,4,183127,8,2,6,0,4,1,0,0,40,39,0
27,0,195494,3,0,4,1,4,0,0,1448,34,39,1
55,4,240045,9,2,1,0,4,1,0,0,40,39,1
50,4,96169,1,2,3,0,2,1,0,0,60,39,0
22,2,112260,9,0,4,0,4,0,0,0,40,39,1
23,0,108439,2,0,3,4,4,0,0,0,12,39,0
33,7,168898,15,0,8,1,2,0,0,0,45,39,0
44,6,239211,14,2,3,0,4,1,0,0,50,39,1
43,4,336703,11,0,14,4,4,0,0,0,50,39,0
33,4,114636,11,0,1,3,4,0,0,0,40,6,0
45,5,165737,11,2,4,0,1,1,14644,1885,49,39,1
25,4,107817,12,2,3,0,4,1,0,0,33,39,1
28,4,106945,11,2,3,0,4,1,0,0,45,39,0
64,4,112020,8,2,1,0,2,1,0,0,80,39,0
27,4,210301,8,4,4,1,4,1,0,0,34,39,1
25,4,163271,12,0,8,1,4,1,0,0,11,39,0
33,4,39845,11,2,12,2,4,0,0,0,34,39,0
35,4,164660,15,2,12,0,4,0,0,0,40,39,1
25,4,164116,11,0,10,1,4,0,0,0,36,39,0
35,4,238093,8,2,11,0,4,1,0,1554,50,39,0
40,4,99853,11,5,10,1,2,0,0,0,40,39,0
38,4,369282,0,4,12,3,4,0,0,729,55,39,0
23,4,42766,12,2,13,4,4,0,0,0,50,39,0
54,4,298482,11,4,11,2,4,1,0,0,40,39,0
33,1,161757,15,4,1,1,4,0,0,0,35,39,0
38,2,186904,8,4,14,3,0,0,0,0,55,39,0
52,6,352518,15,2,7,0,4,1,0,0,55,39,1
25,4,342674,15,4,3,1,4,0,0,0,40,39,0
36,4,18022,15,4,1,1,4,0,0,0,36,3,0
47,0,40876,11,0,4,4,1,0,0,0,40,39,0
32,6,179918,11,3,8,5,4,1,0,0,40,39,0
35,0,164790,15,4,12,1,2,1,2507,0,21,39,0
60,4,112433,11,2,6,0,4,1,0,0,40,0,0
63,4,188093,15,2,3,0,4,1,0,0,40,39,0
30,0,297865,8,5,3,4,4,0,0,0,50,13,0
43,4,106043,8,2,8,5,4,0,0,0,40,39,0
36,4,168144,7,4,8,1,4,0,0,0,50,39,0
28,4,304134,0,6,0,1,4,0,0,1991,50,39,0
54,4,118478,8,2,3,0,4,1,0,0,40,25,0
64,5,199316,9,2,3,0,4,1,0,0,50,39,0
66,4,358514,15,2,3,0,4,1,0,0,68,39,1
30,3,465406,14,0,4,1,4,0,107798,0,40,39,1
30,6,237114,5,2,11,0,4,1,0,1999,40,39,1
35,4,206127,15,4,4,3,4,1,0,0,40,39,0
35,4,204483,1,4,1,3,1,1,0,0,35,39,0
33,4,407504,15,2,10,0,4,0,0,0,40,39,1
