age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,7,125388,15,0,10,1,4,0,0,0,32,39,0
51,4,269058,11,2,8,5,4,0,0,0,40,33,0
35,6,163735,11,2,12,0,4,1,0,0,19,39,0
40,4,799427,9,4,14,1,4,1,0,1656,48,0,0
24,4,224517,15,4,4,3,4,0,0,0,40,0,0
31,4,254894,1,4,6,1,4,0,0,0,26,39,0
28,2,200502,12,4,10,1,4,0,0,0,40,39,0
23,4,105228,8,4,10,1,4,1,0,0,17,39,0
26,2,225665,9,2,10,0,4,1,0,0,40,22,0
43,4,126908,15,2,1,0,4,1,7622,0,51,39,1
23,4,243045,11,4,7,2,4,1,0,0,42,39,0
30,4,117685,9,2,3,0,4,1,0,0,40,39,0
45,4,228094,9,2,8,0,4,1,0,0,31,39,0
26,4,419986,11,4,14,1,4,1,0,0,40,39,0
24,4,205839,11,2,4,1,4,1,7666,0,40,39,1
54,4,186495,9,2,10,0,4,1,14876,0,83,39,1
19,4,175797,1,2,3,0,1,1,0,0,35,39,0
39,4,208515,9,4,4,1,4,1,0,0,40,39,0
44,4,74645,11,2,7,0,4,1,0,1887,40,39,1
39,4,208648,15,4,6,1,4,1,0,0,40,39,0
39,4,164403,6,0,7,4,4,0,0,0,50,39,0
52,4,99497,11,2,4,0,4,1,0,1885,50,39,1
39,7,30314,11,0,3,4,4,1,0,0,35,39,0
46,6,189665,11,0,4,4,4,0,0,0,37,39,0
43,4,169001,0,4,9,4,4,0,0,0,40,0,0
23,4,70565,15,4,12,3,2,0,14941,0,40,39,0
44,5,163591,15,4,1,1,4,1,0,0,45,39,0
29,4,174334,11,2,7,0,4,1,3392,0,40,39,0
28,5,336170,9,4,12,1,4,1,0,0,82,39,1
32,2,25877,7,4,10,4,4,0,0,0,33,39,0
20,4,181772,15,4,8,3,4,1,0,0,27,39,0
35,4,331315,9,2,13,0,4,1,0,0,50,39,1
40,4,183481,9,0,4,4,4,0,0,0,40,39,0
47,5,100816,11,2,4,0,4,1,0,0,48,39,1
34,4,31398,15,4,8,3,4,0,0,0,34,39,0
28,4,194512,15,4,1,4,4,0,0,0,40,39,0
25,1,90360,8,2,1,0,4,0,0,0,40,39,0
30,4,230542,1,2,7,5,2,0,0,0,40,39,0
38,4,285490,14,4,10,1,4,1,0,0,49,39,0
55,7,157877,11,2,10,5,4,0,14908,0,50,39,1
36,4,140691,4,2,6,0,4,1,0,0,40,39,0
