fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,payment_type,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,has_other_cards,proposed_credit_limit,device_os,keep_alive_session,device_distinct_emails_8w
0,0.8984380489022284,1.0280055078480013,31.6,15.6,20,AA,15,CA,190,0,BB,1,0,998.5,x11,1,1.0
0,0.0991080186046502,0.6008768932493788,,29.2,20,AA,4,CC,178,1,BA,1,0,1496.7,linux,1,1.0
0,0.5031768882819438,0.2649645806182965,56.0,41.9,30,AA,7,CA,122,0,BC,1,0,198.9,other,1,1.0
0,0.0979122835718697,0.7083109156620637,,186.2,50,AC,2,CA,185,0,BA,0,0,199.6,windows,0,1.0
0,0.6012026290199098,0.9539802858509843,27.7,157.6,10,AA,20,CA,181,1,BA,0,0,1500.9,other,1,0.0
0,0.1040378220203176,0.5921642545159104,12.5,13.0,40,AC,10,CD,132,1,BB,0,0,200.1,linux,0,1.0
0,0.599375101248036,0.10970096909115024,,224.5,20,AA,6,CA,175,1,BB,1,0,1497.6,windows,0,1.0
0,0.4009701351452984,0.38646071954189787,,142.0,40,AB,4,CA,112,0,BB,1,0,200.2,macintosh,1,1.0
0,0.5014328272571642,0.7624269290342812,,62.9,20,AA,3,CF,-27,0,BB,0,0,199.8,windows,1,1.0
0,0.0986915531619311,0.8407708440132092,,182.4,60,AC,3,CA,180,0,BE,0,0,499.7,other,1,1.0
1,0.0969511514255391,0.4557789481089907,156.5,18.4,40,AB,12,CA,16,1,BC,0,0,199.5,linux,1,1.0
0,0.8033557010162203,0.34360011606940083,49.4,-3.7,10,AA,21,CA,183,0,BC,0,0,1499.0,other,1,1.0
0,0.8053356955746586,0.573858469051946,128.1,-5.6,40,AA,13,CA,144,0,BC,1,0,199.8,other,1,1.0
0,0.1991793048533823,0.2921880768382484,,107.6,60,AB,2,CA,175,0,BC,1,0,499.7,other,1,1.0
0,0.7034612568658375,0.8638991102281495,,103.8,30,AC,22,CA,175,0,BA,1,0,199.5,linux,1,1.0
0,0.9010657924440596,0.609161010246074,,32.3,10,AB,11,CA,-21,0,BE,0,0,199.7,other,1,1.0
0,0.9040340001064564,0.008408707134827706,,8.8,30,AD,6,CA,118,1,BB,0,0,199.9,windows,1,1.0
0,0.5962805936550476,0.10590760592809383,,198.0,30,AD,10,CA,215,0,BB,1,0,198.5,other,0,1.0
0,0.8981357576078499,0.06142457220723542,,170.5,30,AD,7,CA,196,0,BB,1,0,498.9,windows,0,1.0
0,0.6989469123715786,0.19823511386018566,,183.0,70,AA,1,CG,178,1,BA,1,0,998.6,linux,0,1.0
0,0.8001327387409132,0.0181104640390923,169.4,14.6,40,AA,6,CA,111,1,BC,0,0,199.2,other,0,1.0
0,0.100894793558882,0.3519622458061784,,66.5,30,AC,8,CA,159,1,BC,1,0,199.9,windows,1,1.0
0,0.5989425329867771,0.8442925720563378,,79.4,50,AC,4,CF,181,1,BB,0,0,1497.6,other,0,1.0
1,0.5992784799378016,0.506003018529753,,200.9,40,AA,15,CA,-34,1,BB,0,0,199.4,windows,0,1.0
0,0.6014044147154453,0.6877951420701904,11.8,11.9,30,AC,7,CA,117,0,BB,1,0,199.3,other,0,1.0
0,0.8009653774604311,0.927805895400891,,85.1,30,AC,19,CA,174,0,BA,0,0,199.9,windows,0,1.0
0,0.4997788018088823,0.6789066996225179,311.7,52.8,30,AA,11,CA,168,0,BA,0,0,1499.0,other,1,1.0
0,0.7008167568468389,0.4960058483235323,,57.3,30,AC,2,CA,86,1,BC,0,0,200.1,windows,0,1.0
0,0.9012845681283755,0.5816530127513275,,22.0,20,AC,10,CA,141,0,BB,1,1,200.3,linux,1,1.0
0,0.4975206378951717,0.8784194227346568,,9.5,30,AA,3,CA,188,1,BC,1,0,499.2,linux,1,1.0
0,0.2020178136688244,0.0016786822152510955,,104.1,30,AC,9,CC,143,1,BC,0,0,200.1,linux,0,
0,0.1032188561841462,0.5354126922237531,,113.1,50,AB,12,CB,-17,1,BC,1,0,199.3,linux,0,1.0
0,0.1073247921533839,0.48769811367205945,25.5,-3.6,20,AC,9,CA,124,0,BC,0,0,1499.3,linux,0,1.0
0,0.9026318040373468,0.6916670145526996,,94.3,20,AA,12,CA,138,1,BE,1,0,199.8,other,0,1.0
0,0.7970420835722846,0.5890590091689781,,160.6,70,AB,6,CA,194,0,BA,0,0,199.4,other,1,1.0
0,0.3033242200240197,0.8792582186865209,,33.0,40,AB,14,CA,-24,0,BE,0,1,199.3,linux,1,1.0
0,0.7994737384557781,0.5700056028062992,,108.5,40,AB,4,CA,172,1,BA,0,1,1499.5,other,0,1.0
0,0.7005682369172231,0.830552447494836,,76.4,40,AB,1,CA,147,1,BC,0,1,200.2,linux,1,1.0
0,0.6022109453678254,0.849846243490731,,35.6,40,AB,19,CA,166,0,BF,0,0,500.4,windows,1,1.0
0,0.1066081647999808,0.6706165160085521,164.3,75.1,40,AC,19,CA,173,0,BC,0,0,199.8,other,0,1.0
0,0.6019638989227775,0.8551979358110524,,34.8,70,AA,18,CA,112,1,BB,0,0,199.3,linux,0,1.0
0,0.6019613558103252,0.25222980932626116,,13.1,40,AB,10,CA,148,0,BB,1,1,200.1,windows,0,1.0
0,0.8990209736426006,0.17800983154618247,,8.5,40,AC,5,CA,179,0,BA,1,1,499.8,macintosh,1,1.0
0,0.6019340507784577,0.8821450188931508,,9.4,30,AB,20,CA,193,1,BG,0,1,200.0,other,0,1.0
0,0.8960654347648546,0.8980150968426605,,20.6,40,AA,8,CA,210,0,BB,0,0,994.5,other,1,1.0
0,0.2981014128672242,0.3981744274228557,,112.8,50,AB,1,CA,182,0,BC,0,0,199.7,other,0,1.0
0,0.8990914629823606,0.45625356162955266,,109.2,50,AA,18,CA,184,1,BC,0,0,1000.1,linux,1,1.0
0,0.1008691402419691,0.38224925932041154,,109.6,50,AD,2,CC,122,1,BB,0,1,200.1,other,1,1.0
0,0.7986386420180785,0.08947792482440237,130.5,12.5,40,AC,7,CC,106,1,BC,0,0,200.0,linux,0,1.0
0,0.1000912884697202,0.592670135477257,,6.0,20,AB,2,CA,170,1,BE,0,0,199.8,other,1,1.0
0,0.9019527161664312,0.8828700498833432,,332.3,40,AD,18,CA,125,1,BE,1,0,1989.0,other,1,1.0
0,0.7972990248949461,0.6013716075806942,224.1,203.5,50,AB,7,CA,202,0,BB,0,1,996.3,windows,1,1.0
