fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,payment_type,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,has_other_cards,proposed_credit_limit,device_os,keep_alive_session,device_distinct_emails_8w
0,0.3002544112376361,0.26542432025352225,196.9,6.1,40,AD,5,CA,188,0,BC,0,0,1500.4,other,1,1.0
0,0.3000585292578719,0.8941940706895442,,56.7,20,AC,18,CB,71,1,BB,0,0,200.2,other,1,1.0
0,0.9000272096030524,0.669782276092046,,189.8,50,AD,10,CA,220,1,BA,1,1,1500.8,macintosh,1,1.0
0,0.0998774072110069,0.7652265097646401,,39.8,50,AC,5,CA,267,0,BA,0,0,1500.2,other,0,1.0
0,0.5999626255734575,0.10966976169175577,191.4,20.7,30,AA,9,CA,-19,1,BC,1,0,503.3,linux,0,1.0
0,0.2001209568595352,0.07649594272560808,54.3,0.9,30,AB,17,CA,95,0,BC,1,0,200.0,linux,1,1.0
0,0.8000013281588823,0.17905874294402718,29.9,14.0,30,AB,15,CA,173,0,BC,0,1,500.5,other,0,1.0
0,0.2002468642025125,0.4375080773645284,,84.0,20,AB,8,CA,118,1,BE,0,0,200.1,windows,0,1.0
0,0.5000489068529517,0.5409818097126242,,28.9,40,AB,20,CA,138,0,BC,0,0,1996.0,windows,1,1.0
0,0.1000150538325803,0.21233502948156266,,38.0,30,AC,9,CB,28,0,BB,0,0,200.2,other,1,1.0
0,0.7999907277664337,0.3700471692600044,,124.9,40,AC,16,CA,206,1,BB,0,0,500.6,linux,0,1.0
0,0.8000473307798913,0.004668206916567941,30.2,-3.0,40,AB,8,CA,88,1,BC,0,0,200.3,other,0,1.0
0,0.6998303237845631,0.8863861263510908,8.2,6.1,10,AC,15,CA,184,0,BC,1,0,1500.3,windows,0,1.0
0,0.6999615044203391,0.7529172595425287,,109.1,20,AC,6,CA,115,0,BE,0,0,499.7,linux,0,1.0
0,0.3003262810647115,0.3976738236640924,,169.0,30,AB,7,CF,145,1,BB,0,0,1500.1,other,1,1.0
0,0.2999715537536592,0.5286574500201677,,63.4,20,AB,10,CA,137,1,BC,0,0,500.6,windows,1,1.0
0,0.1000105449166931,0.5464205460440779,,117.2,40,AB,2,CA,85,0,BE,1,1,200.2,other,0,1.0
0,0.400069130777754,0.920441834415878,,350.1,40,AB,8,CA,260,0,BA,1,0,500.6,other,1,1.0
0,0.8000581241822254,1.011594130536143,,188.4,20,AB,17,CB,62,1,BC,1,0,200.2,linux,0,1.0
0,0.4001037434269996,0.8894310730456957,,92.0,40,AB,10,CD,18,1,BB,1,0,200.4,windows,1,1.0
0,0.6999568894864856,0.9962772059227267,190.4,10.0,50,AA,2,CA,135,1,BC,1,1,518.1,windows,0,1.0
0,0.4000935913799657,0.7297909811323202,,55.7,20,AA,10,CB,123,0,BC,0,0,200.2,other,0,1.0
0,0.7000129851016785,0.34055278725400634,11.1,13.1,30,AC,15,CF,25,1,BB,0,0,200.2,linux,0,1.0
0,0.9000139742001846,0.4155074216921443,,14.3,40,AC,12,CA,12,1,BC,1,0,200.4,other,1,1.0
0,0.0999721255239709,0.23330071352238183,11.3,13.6,70,AB,5,CC,53,0,BC,1,0,200.1,linux,0,1.0
0,0.4000758160098528,0.08939326188388128,105.5,20.6,20,AB,13,CA,115,0,BC,0,0,200.1,windows,1,1.0
0,0.1000911551243368,0.8281516191848753,,134.2,30,AA,11,CA,140,0,BC,0,0,200.2,linux,1,1.0
0,0.9000915468434098,0.1967833438438023,,39.7,40,AC,4,CD,83,1,BC,1,0,200.2,other,1,0.0
0,0.8999980545235617,0.7103253499176392,,35.6,30,AC,10,CA,244,0,BA,0,0,500.7,windows,1,1.0
0,0.8999443142995948,0.8511128297567425,,269.2,60,AB,2,CC,174,1,BD,1,0,1500.5,windows,0,1.0
0,0.9000158725234559,0.8820427960506576,,211.2,40,AB,6,CA,161,0,BA,1,0,999.9,other,1,1.0
0,0.9000069021250386,0.11897516498406951,40.9,6.5,30,AC,3,CB,157,1,BC,0,0,200.2,linux,1,1.0
0,0.9000097657833679,0.42066688053056817,,68.2,40,AB,10,CA,262,1,BB,0,0,1999.0,linux,0,1.0
0,0.4000592200525633,0.5445289286882191,,194.6,10,AA,10,CB,4,0,BE,1,0,200.0,other,0,1.0
0,0.7000411740115137,1.015690115971038,,54.8,40,AB,8,CA,187,0,BA,0,0,500.7,windows,1,1.0
0,0.8999633557220376,0.40326312166546735,,156.5,60,AB,3,CA,235,0,BA,0,0,200.1,windows,0,1.0
0,0.6000025819650977,0.9959889112827147,193.8,189.7,30,AC,7,CA,224,0,BA,1,1,999.9,windows,0,1.0
0,0.1000340786840923,0.2572018580015476,,56.8,40,AB,10,CA,30,0,BD,1,1,200.3,windows,1,1.0
0,0.9000129877921159,0.15009662609391822,,368.4,60,AD,4,CB,272,1,BA,0,1,1501.6,other,0,1.0
0,0.2002599605182982,0.7475987678717647,,139.8,20,AA,15,CE,120,1,BE,0,0,500.4,linux,0,1.0
0,0.3000495232215887,0.18720509987428366,,44.2,30,AB,10,CA,135,1,BC,1,1,200.2,linux,1,1.0
0,0.5000429592340503,0.688382668502619,94.8,8.9,30,AD,7,CC,46,0,BB,0,0,200.2,linux,0,1.0
0,0.5000298932664062,0.7647807447267813,34.7,,20,AD,21,CA,57,1,BE,0,0,200.2,other,1,1.0
0,0.699895781422297,0.16217178411281402,61.5,222.4,20,AC,8,CA,88,0,BD,1,0,500.0,linux,0,1.0
0,0.8999872345497095,0.7299031884336454,171.0,1.6,20,AC,20,CA,132,0,BC,0,0,200.2,other,1,1.0
0,0.4001910111740463,0.8516327328203832,,69.9,50,AA,2,CA,205,1,BC,0,0,1501.2,other,1,1.0
0,0.8999601142651307,0.09656382343744598,,33.0,30,AD,12,CA,104,1,BC,0,1,200.1,linux,1,1.0
0,0.300198598165528,0.09446635337081208,,86.6,40,AB,12,CD,90,0,BD,0,0,200.2,other,0,1.0
0,0.9000517926766388,0.5871442266191613,,224.8,50,AA,8,CB,257,0,BE,1,0,1500.4,linux,1,1.0
0,0.9000885734552275,0.8090130287685696,,82.4,30,AB,12,CA,123,1,BB,0,0,500.4,windows,1,1.0
0,0.0998262646776134,0.935038108578071,,156.4,30,AB,8,CE,51,0,BB,1,0,200.2,other,1,1.0
0,0.4999392468256552,0.5048007833691642,,41.1,40,AC,19,CB,44,1,BC,0,0,200.4,windows,0,1.0
0,0.6000560745704282,0.1395452857284326,,92.6,50,AB,3,CC,93,1,BC,0,1,200.1,x11,1,1.0
0,0.6000108697903439,0.5418038423579423,,174.6,30,AB,26,CA,145,1,BB,0,1,999.8,other,0,1.0
0,0.200140043570999,0.9237315332446044,,115.6,30,AA,14,CA,-43,1,BE,0,0,200.1,windows,1,1.0
0,0.9000345312318023,0.8038576901136385,,5.2,40,AB,20,CA,224,0,BA,0,0,999.5,windows,0,1.0
0,0.9001004120178662,0.07924706409484984,,334.1,60,AA,5,CB,142,1,BA,0,0,999.6,linux,0,1.0
0,0.4000019046511807,0.8365242837414215,,345.1,40,AB,5,CC,125,0,BB,1,0,200.3,windows,1,1.0
0,0.5999912792681485,0.8617870602375816,38.4,13.9,40,AB,15,CA,31,1,BC,1,1,997.7,macintosh,0,1.0
0,0.6995719588386914,0.4768560978721391,,201.2,50,AB,3,CD,136,0,BB,1,0,200.1,other,1,2.0
0,0.1000291508587542,0.5413655327502119,7.2,9.7,40,AC,9,CA,244,1,BA,1,0,1501.0,linux,1,1.0
0,0.6998652522434545,0.08249109315656131,,167.2,30,AD,22,CA,228,1,BB,0,0,1500.8,other,0,1.0
0,0.5999583404281439,0.7564100021703104,,158.0,30,AB,3,CF,44,1,BE,1,1,200.3,other,0,1.0
0,0.3002198866685954,0.7063235422677046,,22.2,40,AA,7,CA,123,0,BC,1,1,500.5,macintosh,0,1.0
0,0.4999909167182967,0.19432971557001166,,46.6,30,AB,8,CA,250,0,BB,0,0,200.2,other,1,1.0
0,0.9000025775108207,0.5462408069922019,,67.1,30,AA,14,CA,227,0,BA,1,1,1500.5,linux,0,1.0
0,0.6000419928751651,0.8769074921973047,,77.4,50,AB,7,CA,163,1,BA,1,0,500.5,windows,1,1.0
0,0.7999387715802388,0.65248271565709,57.7,5.9,20,AD,25,CB,56,1,BE,0,0,200.2,other,1,1.0
0,0.4000847146146624,0.6056970496656875,12.6,-4.2,20,AB,21,CA,116,1,BC,0,1,500.5,windows,1,1.0
0,0.4999753626692612,0.2263877099011603,,376.8,30,AC,5,CA,195,0,BC,1,0,1994.7,linux,0,2.0
0,0.1000493766748247,0.5808585754133735,,147.8,50,AB,6,CA,57,0,BE,0,1,200.2,other,0,1.0
0,0.2001829680818546,0.9993485888029404,,296.8,30,AC,8,CF,74,1,BB,0,0,499.5,linux,0,2.0
0,0.3001538126922464,0.6842886385115369,,115.3,30,AB,8,CA,55,0,BE,1,1,200.2,other,1,1.0
0,0.6999374126555047,0.016253534279401675,63.4,12.4,30,AC,15,CA,62,1,BB,1,0,200.2,linux,0,1.0
0,0.9000453966946842,0.8385850449138653,,178.7,50,AD,9,CF,87,1,BC,0,0,200.2,other,0,1.0
0,0.200181511846613,0.8484130100501135,11.2,191.6,40,AD,10,CA,105,1,BC,0,0,200.3,x11,1,1.0
0,0.2000116299802877,0.8785211018587177,,51.4,20,AC,10,CB,16,1,BB,0,0,200.3,linux,1,1.0
0,0.2002314575015526,0.1818530637780431,,197.2,50,AB,6,CA,17,0,BB,1,0,200.1,windows,1,1.0
0,0.9000769348631734,0.37058625888930125,36.3,5.7,40,AB,15,CB,84,1,BC,1,1,500.5,other,1,1.0
0,0.3000839782912351,0.06585677229873824,,102.9,30,AA,12,CB,95,0,BE,1,0,200.2,other,0,1.0
0,0.7999562565824356,0.6633285915402083,11.6,5.3,10,AC,8,CA,145,0,BC,0,0,999.8,macintosh,0,1.0
0,0.7991355301299335,1.008760703142246,,29.8,40,AA,7,CD,38,1,BD,0,0,200.2,other,1,1.0
0,0.9000016284743486,0.09227306685839898,37.0,5.8,40,AD,10,CA,128,0,BC,1,0,200.2,other,1,1.0
0,0.2000350699787725,0.6594968003423415,,123.6,40,AC,6,CB,163,1,BC,0,1,200.2,other,0,
0,0.200101971794627,0.6745996789917563,,54.2,20,AA,18,CA,49,1,BE,0,1,999.7,other,1,1.0
0,0.0999764565314335,0.5847281379094832,11.1,28.3,70,AB,13,CB,98,1,BC,1,0,200.1,macintosh,0,1.0
