date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
57,1,1.57,850,11100,1.0,0,0,4,6,1040,1018,1919,0,98115,47.6864,-122.387,1572,5956,236088
329,10,2.2,2915,3626,3.0,0,2,3,4,2387,705,1995,0,98014,47.4593,-122.061,2371,8941,721149
352,6,3.44,4066,9327,2.0,0,4,5,9,2155,410,1951,0,98011,47.7747,-122.107,2445,10271,538018
67,2,1.23,1636,32131,1.0,0,0,3,6,1816,0,1982,0,98022,47.4237,-121.956,2173,7949,256950
56,10,3.18,4391,17962,2.0,1,1,3,9,3446,1144,1978,2003,98116,47.355,-122.227,3381,7098,778625
24,2,3.03,3236,8400,2.0,0,0,3,8,3594,0,2002,0,98199,47.3533,-121.887,2768,32825,573855
311,2,1.55,1772,3361,1.0,0,0,3,13,1067,0,1993,0,98027,47.6197,-122.335,1276,7859,384305
165,3,1.16,1199,6240,1.0,0,0,3,6,1248,0,1974,0,98075,47.4869,-121.953,1665,4503,308466
169,3,3.46,2437,26109,1.0,0,0,3,7,1343,786,1985,0,98053,47.3794,-122.408,1211,6466,247275
354,3,1.11,1097,94176,2.0,0,0,4,8,1405,0,1957,0,98023,47.54,-122.042,1834,6305,386569
55,2,3.14,4454,21234,2.0,0,3,3,10,2567,2195,1971,0,98116,47.5464,-122.234,2992,35468,811162
285,4,2.56,2921,6604,1.0,0,0,3,8,3117,0,2006,0,98001,47.3202,-121.845,2470,3677,570348
292,4,2.93,4490,28098,1.5,0,0,3,7,3742,790,1998,0,98059,47.5362,-122.042,3041,10471,830797
148,6,2.98,4846,12962,2.0,0,3,3,10,4124,0,1977,0,98117,47.5302,-122.089,4014,11844,1132907
307,4,1.35,1006,16583,2.0,0,0,4,6,1106,267,1948,0,98023,47.6869,-122.241,1620,4653,235680
214,3,1.87,2121,2987,1.0,0,0,4,5,1643,0,2005,0,98118,47.6485,-122.217,1650,2065,405366
212,5,1.28,847,13549,1.0,0,0,3,7,1243,577,1911,0,98125,47.4296,-122.294,2066,9909,386898
114,3,2.23,1895,4009,1.0,0,0,5,7,1566,0,1991,0,98077,47.7065,-122.171,1918,9103,530900
315,4,2.15,1225,9857,1.5,0,2,5,7,1339,1227,1933,0,98198,47.7098,-122.183,1832,10274,246843
347,4,2.71,4099,39597,1.5,0,0,4,10,3923,1935,1979,0,98006,47.5637,-122.207,3247,18467,1181642
