date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
340,4,3.08,2782,11348,2.0,0,0,3,7,2797,0,2013,0,98045,47.4959,-121.831,2234,9180,351566
313,4,2.64,1709,4504,2.0,0,0,3,7,1953,0,2013,0,98038,47.3602,-122.042,2110,4106,245339
24,4,3.88,3944,8945,1.0,0,0,5,9,2429,1367,1956,0,98105,47.6636,-122.27,2708,3542,1010588
238,4,2.28,1685,4168,2.0,0,0,3,7,1885,0,1976,0,98148,47.4201,-122.179,1600,6228,406893
235,5,2.1,2016,12655,1.0,0,0,4,7,1444,935,1960,0,98006,47.5261,-122.266,1234,9225,262602
252,4,2.99,1787,8872,2.0,0,0,4,7,1853,0,1972,0,98042,47.3616,-122.128,1858,5040,284377
249,3,2.29,2047,139682,1.0,0,0,4,8,1818,1084,1950,0,98040,47.7569,-122.151,3364,14721,487381
210,3,2.47,1869,2979,1.5,0,1,4,9,1699,334,1957,0,98136,47.559,-122.36,1960,5539,556196
347,2,2.11,2186,2285,3.0,0,0,3,8,1666,0,1948,0,98117,47.6832,-122.348,1654,849,570268
264,4,2.87,1872,2063,2.0,0,0,3,7,1559,435,1928,0,98106,47.5656,-122.314,1605,6423,549039
156,4,2.98,4192,19454,1.0,0,3,5,10,2768,1160,1968,0,98005,47.6502,-122.133,3608,10024,1043390
229,4,2.61,2328,6161,1.0,0,0,3,8,1234,631,1976,0,98126,47.665,-122.295,1569,958,746521
120,3,3.06,2074,4576,2.0,0,0,4,7,1341,517,1954,0,98106,47.5425,-122.257,1616,6642,288031
202,3,0.84,1159,6214,1.0,0,0,3,6,1119,0,1930,0,98118,47.5905,-122.331,1163,4137,232462
20,3,3.58,3504,5240,2.0,0,0,3,10,2757,564,1926,0,98199,47.6471,-122.386,2192,4180,1212419
349,3,1.21,996,11467,1.0,0,0,4,7,874,792,1959,0,98008,47.2655,-122.033,1627,11935,277797
366,1,0.96,757,5842,1.0,0,0,3,7,1584,0,1948,0,98155,47.7643,-122.29,2131,11306,419416
