fraud_bool,income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,payment_type,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,has_other_cards,proposed_credit_limit,device_os,keep_alive_session,device_distinct_emails_8w
0,0.4,0.5325454085484104,-1,74,20,AB,15,CB,66,1,BB,0,0,200.0,windows,0,1
0,0.8,0.2215111003098729,-1,117,20,AB,8,CA,115,1,BC,0,1,200.0,windows,0,1
0,0.1,0.6779931675004379,-1,65,20,AA,11,CA,79,1,BE,0,0,200.0,linux,0,1
0,0.8,0.4386265961763034,23,9,20,AD,7,CA,113,1,BC,1,0,200.0,linux,1,1
0,0.7000000000000001,0.5250163140355645,-1,302,40,AD,8,CA,148,0,BB,1,0,500.0,windows,0,1
0,0.4,0.3083949870486861,-1,170,50,AA,5,CA,223,0,BA,0,0,1500.0,other,1,1
0,0.4,0.3249295391586653,11,16,20,AC,10,CA,131,1,BE,0,0,200.0,other,1,1
1,0.9,0.2364786497192045,52,9,20,AB,18,CC,147,1,BA,0,0,500.0,windows,1,1
0,0.1,0.745364535444831,-1,72,20,AC,7,CA,-104,0,BC,0,0,200.0,other,0,0
0,0.8,0.6477834692503366,-1,142,60,AB,1,CB,187,1,BA,1,0,500.0,windows,0,1
0,0.5,0.5376469401249726,-1,94,50,AB,4,CA,126,1,BC,0,0,200.0,other,0,1
0,0.1,0.1384573383974242,9,7,20,AB,10,CA,132,1,BC,0,0,200.0,linux,1,1
0,0.7000000000000001,0.7105178839203264,30,8,30,AC,3,CA,157,1,BD,1,0,500.0,other,1,1
0,0.7000000000000001,0.4538948023379037,-1,40,20,AC,10,CA,99,0,BA,1,0,200.0,other,1,1
0,0.8,0.7300664922835451,-1,133,10,AA,6,CE,25,0,BE,1,0,500.0,macintosh,0,1
0,0.9,0.1416623527451345,-1,55,30,AA,12,CA,2,0,BC,0,0,200.0,linux,1,1
0,0.8,0.9913443809836474,25,13,30,AC,11,CA,210,1,BC,1,1,1500.0,other,1,1
0,0.9,0.900445021919083,-1,150,20,AB,6,CA,122,0,BE,1,0,500.0,other,0,1
0,0.9,0.2159870091201592,-1,78,40,AD,11,CA,280,0,BA,0,0,1500.0,other,0,1
0,0.6000000000000001,0.0217881649541212,53,210,30,AA,5,CA,79,0,BE,1,0,200.0,linux,1,1
0,0.8,0.2400008038421925,-1,167,50,AA,1,CA,131,1,BB,1,1,500.0,linux,0,1
0,0.3,0.2827012088033886,27,143,50,AB,4,CC,84,0,BA,1,1,200.0,other,1,1
0,0.7000000000000001,0.4027090341775706,-1,47,30,AC,8,CB,37,1,BC,1,0,200.0,linux,0,1
0,0.8,0.4643228190566762,55,214,20,AC,6,CA,255,0,BE,1,0,1500.0,other,1,1
0,0.6000000000000001,0.2742138718893613,99,124,50,AB,3,CA,190,1,BA,0,0,1500.0,windows,1,1
0,0.9,0.2488473806925943,-1,74,40,AA,13,CA,80,1,BE,0,0,200.0,macintosh,1,1
0,0.5,0.2573662180144665,-1,291,20,AB,12,CF,108,0,BC,0,0,200.0,linux,1,1
0,0.9,0.5851697930209544,-1,49,40,AC,10,CA,147,0,BA,0,1,500.0,linux,0,1
0,0.6000000000000001,0.9942822277159884,-1,46,50,AA,12,CA,133,1,BC,1,0,1000.0,other,1,1
0,0.7000000000000001,0.4590952446298984,-1,46,30,AB,20,CB,35,1,BB,1,0,200.0,other,1,1
0,0.9,0.2354219905222002,-1,383,50,AB,5,CB,129,0,BA,0,0,1000.0,windows,0,1
0,0.8,0.8984840238614346,-1,122,40,AB,4,CB,323,0,BA,1,0,1500.0,windows,0,1
0,0.7000000000000001,0.3622692894031939,-1,203,20,AB,10,CE,99,1,BB,0,0,200.0,other,0,1
0,0.7000000000000001,0.1082146974453129,-1,190,30,AA,5,CA,162,1,BC,1,0,1000.0,other,1,1
0,0.4,0.6287683980933367,-1,195,50,AC,6,CD,214,0,BB,0,0,1000.0,macintosh,1,1
0,0.6000000000000001,0.8676965979563629,-1,53,30,AB,12,CA,171,1,BC,0,0,1500.0,windows,1,1
0,0.8,0.2430589933025357,29,15,40,AA,4,CA,60,0,BB,0,0,200.0,other,0,1
0,0.8,0.5371459023406825,-1,23,40,AB,7,CA,65,0,BC,1,0,200.0,other,0,1
0,0.1,0.8036924790784468,-1,194,50,AC,2,CC,34,0,BB,1,0,200.0,linux,1,1
0,0.7000000000000001,0.6714990165418516,63,0,30,AC,4,CA,128,1,BB,0,0,200.0,other,0,1
0,0.7000000000000001,0.5562402350116152,-1,69,30,AC,15,CA,108,0,BB,1,1,1000.0,other,1,1
0,0.8,0.6314705345116605,-1,149,40,AB,5,CA,147,0,BA,0,0,1500.0,windows,0,1
0,0.7000000000000001,0.8144331871792309,-1,62,40,AA,9,CA,164,1,BC,0,1,500.0,linux,0,1
0,0.4,0.1040520953729115,-1,189,20,AA,3,CA,171,0,BD,0,0,500.0,other,1,1
0,0.8,0.6158264851928035,-1,110,30,AB,7,CA,123,1,BE,0,1,200.0,windows,0,1
0,0.1,0.3627492456057957,-1,29,30,AC,17,CF,61,1,BB,0,0,200.0,linux,1,1
0,0.9,0.1007499021367299,-1,211,20,AA,14,CA,121,1,BE,1,1,200.0,other,0,1
0,0.9,0.9974319064374912,-1,325,20,AA,19,CB,91,0,BC,0,0,1500.0,other,0,1
0,0.4,0.0443206515019457,33,6,30,AA,20,CA,109,1,BC,1,1,500.0,linux,1,1
0,0.4,0.8483601505275388,-1,174,60,AC,14,CC,219,1,BA,1,1,1500.0,windows,1,1
0,0.6000000000000001,0.7602352610319942,36,15,30,AA,16,CA,189,0,BC,1,1,990.0,linux,1,1
0,0.9,0.4129755562401798,-1,229,30,AD,20,CF,93,1,BE,0,1,200.0,other,1,1
0,0.9,0.3645817695777065,35,16,20,AB,2,CA,194,1,BA,0,0,500.0,windows,1,1
0,0.1,0.6402657664793014,-1,56,20,AC,12,CA,9,1,BB,0,0,200.0,linux,1,1
0,0.8,0.175169018348161,-1,301,60,AC,7,CB,34,0,BA,1,0,200.0,other,0,1
0,0.1,0.0657821316747163,-1,162,60,AA,6,CD,-35,1,BB,1,0,200.0,windows,0,1
0,0.7000000000000001,0.686669027899974,-1,32,20,AC,12,CA,40,1,BE,0,0,200.0,other,1,1
0,0.7000000000000001,0.9168027104488484,97,49,50,AA,6,CA,105,0,BC,0,1,500.0,windows,0,1
0,0.6000000000000001,0.9993067730842312,-1,19,30,AD,13,CE,70,1,BC,0,0,200.0,other,1,1
0,0.1,0.2468595436177163,-1,186,40,AC,9,CD,73,0,BB,1,0,200.0,windows,0,1
0,0.6000000000000001,0.7552768841511468,-1,75,30,AA,5,CA,49,1,BD,0,0,200.0,linux,0,1
0,0.8,0.4636295388861305,-1,19,30,AB,4,CA,123,1,BA,0,0,200.0,linux,1,1
0,0.1,0.221283627218315,-1,150,50,AA,6,CE,55,0,BC,0,0,200.0,linux,1,1
0,0.1,0.5639127547692045,-1,39,10,AA,13,CA,103,1,BE,0,0,500.0,other,0,1
0,0.1,0.7294135354411737,-1,140,30,AA,6,CF,104,0,BE,1,1,1000.0,other,0,1
0,0.8,0.8235684687453876,-1,26,30,AB,16,CA,195,1,BC,0,0,200.0,other,0,1
0,0.9,0.992941009141526,59,11,30,AA,5,CA,114,1,BC,0,0,1000.0,macintosh,0,1
0,0.9,0.9077998599364164,-1,136,40,AC,7,CB,244,0,BA,0,0,1000.0,other,1,1
0,0.2,0.8494319510198565,-1,342,20,AC,11,CA,123,1,BE,1,0,200.0,linux,1,1
0,0.4,0.2524547691251835,-1,23,30,AB,10,CA,164,1,BB,1,0,200.0,other,0,1
0,0.6000000000000001,0.0807580949905438,31,11,20,AB,11,CA,106,0,BC,1,0,200.0,other,1,1
0,0.9,0.1941306646595456,-1,15,30,AC,9,CA,132,1,BB,1,1,200.0,linux,0,1
0,0.9,0.9011495221366776,-1,41,20,AB,9,CB,135,1,BB,0,0,200.0,linux,1,1
0,0.9,0.2641173169218798,-1,31,20,AB,7,CA,143,1,BB,0,1,500.0,linux,0,2
0,0.7000000000000001,0.5147113777585938,191,18,40,AB,8,CA,214,0,BC,1,0,500.0,other,1,1
0,0.7000000000000001,0.494483325145072,25,26,30,AD,9,CA,123,0,BE,0,1,200.0,macintosh,1,1
0,0.8,0.5778905948886144,33,4,20,AB,9,CA,77,1,BC,0,0,200.0,linux,0,1
0,0.3,0.1849964901898074,10,9,50,AB,4,CA,116,0,BC,0,0,200.0,other,0,1
0,0.1,0.4591306315217262,23,77,40,AD,13,CA,119,0,BB,1,1,200.0,other,0,1
0,0.8,0.1020869969388302,-1,140,20,AA,6,CA,202,0,BA,0,0,1000.0,macintosh,0,1
0,0.9,0.995891944454334,-1,194,80,AB,2,CB,317,1,BA,0,0,1500.0,windows,0,1
0,0.1,0.1180989987606527,98,17,10,AB,10,CA,110,0,BB,1,0,200.0,linux,1,1
0,0.6000000000000001,0.1275475040564201,-1,63,30,AA,12,CB,241,1,BC,0,0,200.0,linux,0,1
0,0.6000000000000001,0.8130334352953379,-1,6,30,AB,20,CA,262,0,BA,0,1,1500.0,linux,1,1
0,0.8,0.6594475194658099,-1,194,20,AA,23,CB,171,1,BE,0,0,200.0,other,0,1
0,0.4,0.41617934015877,35,5,40,AB,6,CE,68,1,BC,0,0,200.0,linux,0,1
0,0.9,0.4786536356866602,-1,38,30,AB,14,CA,119,0,BC,0,0,200.0,windows,0,1
0,0.1,0.4003770657166967,-1,42,30,AC,14,CA,121,0,BC,0,1,200.0,windows,1,1
0,0.1,0.5038935672074327,-1,78,20,AC,5,CA,57,0,BC,1,0,200.0,x11,1,1
0,0.9,0.3718583932971303,25,5,30,AC,10,CB,222,0,BA,0,0,990.0,other,0,1
0,0.8,0.4779282093562794,-1,14,20,AB,8,CA,123,1,BC,1,0,200.0,windows,1,1
0,0.3,0.5044856165567271,-1,92,40,AA,7,CB,219,1,BC,0,1,1500.0,other,1,1
0,0.9,0.994906088811108,28,4,40,AA,5,CA,163,0,BC,1,1,200.0,other,0,1
0,0.8,0.4408090716765495,28,1,30,AC,8,CA,154,1,BC,1,0,200.0,windows,0,1
